id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_49_datamanagement","DataManagement → FetchLicenseData","DataManagement → FetchLicenseData","cross_community",3,"['comm_43','comm_48']","Function:frontend/src/app/components/DataManagement.tsx:DataManagement","Function:frontend/src/app/components/DataManagement.tsx:fetchLicenseData"
"proc_50_datamanagement","DataManagement → FetchPlanningData","DataManagement → FetchPlanningData","cross_community",3,"['comm_43','comm_48']","Function:frontend/src/app/components/DataManagement.tsx:DataManagement","Function:frontend/src/app/components/DataManagement.tsx:fetchPlanningData"
"proc_51_changepassword","ChangePassword → GetByUsernameEntity","ChangePassword → GetByUsernameEntity","intra_community",3,"['comm_4']","Method:backend/src/main/java/com/freqmanage/module/auth/AuthController.java:AuthController.changePassword#2","Method:backend/src/main/java/com/freqmanage/module/system/service/UserService.java:UserService.getByUsernameEntity#1"
"proc_52_changepassword","ChangePassword → BizException","ChangePassword → BizException","intra_community",3,"['comm_4']","Method:backend/src/main/java/com/freqmanage/module/auth/AuthController.java:AuthController.changePassword#2","Constructor:backend/src/main/java/com/freqmanage/common/BizException.java:BizException.BizException#2"
"proc_53_createfrequency","CreateFrequency → RsbtSpecialPermitFrequency","CreateFrequency → RsbtSpecialPermitFrequency","intra_community",3,"['comm_1']","Method:backend/src/main/java/com/freqmanage/module/permit/controller/PermitController.java:PermitController.createFrequency#1","Class:backend/src/main/java/com/freqmanage/module/permit/entity/RsbtSpecialPermitFrequency.java:RsbtSpecialPermitFrequency"
"proc_54_createstationpermit","CreateStationPermit → RsbtSpecialPermitStation","CreateStationPermit → RsbtSpecialPermitStation","intra_community",3,"['comm_1']","Method:backend/src/main/java/com/freqmanage/module/permit/controller/PermitController.java:PermitController.createStationPermit#1","Class:backend/src/main/java/com/freqmanage/module/permit/entity/RsbtSpecialPermitStation.java:RsbtSpecialPermitStation"
"proc_55_create","Create → RsbtSpecialPermit","Create → RsbtSpecialPermit","intra_community",3,"['comm_7']","Method:backend/src/main/java/com/freqmanage/module/permit/controller/PermitController.java:PermitController.create#1","Class:backend/src/main/java/com/freqmanage/module/permit/entity/RsbtSpecialPermit.java:RsbtSpecialPermit"
"proc_56_create","Create → CopyProperties","Create → CopyProperties","intra_community",3,"['comm_7']","Method:backend/src/main/java/com/freqmanage/module/permit/controller/PermitController.java:PermitController.create#1","Method:backend/src/main/java/com/freqmanage/module/permit/service/PermitService.java:PermitService.copyProperties#2"
"proc_57_create","Create → RsbtPlanning","Create → RsbtPlanning","intra_community",3,"['comm_12']","Method:backend/src/main/java/com/freqmanage/module/planning/controller/PlanningController.java:PlanningController.create#1","Class:backend/src/main/java/com/freqmanage/module/planning/entity/RsbtPlanning.java:RsbtPlanning"
"proc_58_create","Create → CopyProperties","Create → CopyProperties","intra_community",3,"['comm_12']","Method:backend/src/main/java/com/freqmanage/module/planning/controller/PlanningController.java:PlanningController.create#1","Method:backend/src/main/java/com/freqmanage/module/planning/service/PlanningService.java:PlanningService.copyProperties#2"
